Code agence;Commune;Tournee;Code INSEE;Latitude;Longitude;CP;Zone;UM;Poids
NT50S;AUDOUVILLE LA HUBERT;4;50021;49.4080543518073;-1.23777794837952;50480;Zone 3;1.0;180.0
NT14G;AUDRIEU;20, 46, 51;14026;49.2072219848631;-0.594166994094859;14250;Zone 2;84.0;3063.0029999999997
NT61L;AUGUAISE;6;61012;48.7013893127439;0.553610980510707;61270;Zone 3;2.0;102.0
NT61L;AUNAY LES BOIS;16;61013;48.5400009155271;0.284722000360488;61500;Zone 2;2.0;615.0
NT50S;AUNAY SUR ODON;15;14027;49.0202789306639;-0.632499992847416;14260;Zone 2;231.0;11106.119
NT61L;AUNOU LE FAUCON;24;61014;48.7297210693363;0.043333001434803;61200;Zone 2;6.0;313.0
NT61L;AUNOU SUR ORNE;1, 11, 15;61015;48.611110687256;0.23027800023556;61500;Zone 2;20.0;1120.12
NT14G;AUQUAINVILLE;33;14028;49.0552787780762;0.242500007152562;14140;Zone 3;7.0;475.0
NT14G;AURE SUR MER;51;14591;49.3483314514159;-0.803610980510717;14520;Zone 3;17.0;310.86
NT14G;AURSEULLES;23, 26;14011;49.1049995422362;-0.709443986415878;14240;Zone 2;75.0;6579.554
NT61L;AUTHEUIL;21;61016;48.5719451904301;0.670278012752519;61190;Zone 3;4.0;209.0
NT14G;AUTHIE;2, 3;14030;49.2072219848631;-0.430000007152558;14280;Zone 1;103.0;6474.23
NT50S;AUVERS;4;50023;49.2997207641602;-1.31833302974697;50500;Zone 2;15.0;603.0
NT14G;AUVILLARS;14, 16, 29, 54;14033;49.1936111450202;0.0722220018506053;14340;Zone 2;5.0;364.0
NT50S;AUXAIS;8;50024;49.2163887023931;-1.2977780103683;50500;Zone 2;5.0;1100.0
NT14G;AVENAY;23, 26;14034;49.1005554199222;-0.464722007513047;14210;Zone 1;12.0;737.0
NT61L;AVERNES ST GOURGON;5;61018;48.9399986267093;0.321388989686968;61470;Zone 3;13.0;306.5
NT61L;AVOINE;24;61020;48.6725006103519;-0.0955559983849522;61150;Zone 2;1.0;200.0
NT50V;AVRANCHES;008-2, 1, 10, 19, 2, 20, 21, 3, 5, 6, 7, 9;50025;48.6858329772949;-1.36055600643162;50300;Zone 1;6866.0;348537.376
NT61L;AVRILLY;1;61021;48.5397224426273;-0.614722013473528;61700;Zone 3;6.0;412.0
NT50S;AZEVILLE;6;50026;49.4597206115723;-1.31361103057857;50310;Zone 3;39.0;575.0
NT50V;BACILLY;17, 21, 3, 7;50027;48.7024993896482;-1.44083297252659;50530;Zone 2;36.0;2983.1
NT61L;BAGNOLES DE L ORNE;1, 18, 2;61483;48.550556182861;-0.42472198605537;61140;Zone 2;281.0;13088.794
NT61L;BAGNOLES DE L ORNE NORMANDIE;1, 2;61483;48.550556182861;-0.42472198605537;61140;Zone 2;401.0;10574.215
NT61L;BAILLEUL;5;61023;48.800556182861;-0.0055559999309479;61160;Zone 2;22.0;4922.1269999999995
NT14G;BALLEROY;51;14035;49.180557250977;-0.836111009120955;14490;Zone 2;50.0;1838.8
NT14G;BALLEROY SUR DROME;51;14035;49.180557250977;-0.836111009120955;14490;Zone 2;75.0;2596.59
NT14G;BANNEVILLE LA CAMPAGNE;38, 52;14036;49.1752777099612;-0.219444006681442;14940;Zone 1;5.0;155.0
NT14G;BANNEVILLE SUR AJON;26;14037;49.0625000000001;-0.569721996784209;14260;Zone 2;2.0;151.0
NT14G;BANVILLE;18, 30;14038;49.3122215270999;-0.488611012697219;14480;Zone 2;26.0;895.73
NT61L;BANVOU;2;61024;48.6655578613278;-0.55277800559998;61450;Zone 3;4.0;643.26
NT14G;BARBERY;27;14039;49.0083312988281;-0.351666986942292;14220;Zone 1;22.0;1540.87
NT14G;BARBEVILLE;51;14040;49.2794456481931;-0.743332982063269;14400;Zone 2;210.0;2273.657
NT50V;BARENTON;1, 11;50029;48.6005554199218;-0.831667006015789;50720;Zone 3;245.0;8653.339
NT50T;BARFLEUR;1, 5, 8;50030;49.6699981689447;-1.26527798175812;50760;Zone 2;264.0;5620.609
NT50T;BARNEVILLE CARTERET;1, 3, 7;50031;49.379444122314;-1.78472197055821;50270;Zone 2;1000.0;53085.593
NT14G;BARNEVILLE LA BERTRAN;13, 30, 52, MAINIER;14041;49.3866653442379;0.188611000776288;14600;Zone 3;47.0;1616.0
NT14G;BARON SUR ODON;31;14042;49.1302795410161;-0.479721993207933;14210;Zone 1;42.0;10293.5
NT14G;BAROU EN AUGE;25;14043;48.9324989318849;-0.0441670008003707;14620;Zone 2;1.0;50.0
NT61L;BARVILLE;16;61026;48.48416519165;0.340000003576281;61170;Zone 2;7.0;4345.39
NT14G;BASLY;39;14044;49.2794456481931;-0.42388901114464;14610;Zone 1;235.0;1345.047
NT14G;BASSENEVILLE;38, 52;14045;49.2097206115721;-0.152777999639512;14670;Zone 1;9.0;457.0
NT61L;BATILLY;24;61027;48.7188873291022;-0.18694399297237;61150;Zone 2;1.0;223.0
NT50T;BAUBIGNY;7;50033;49.4311103820801;-1.80055594444269;50270;Zone 2;5.0;118.0
NT50S;BAUDRE;1, 2, 3;50034;49.0905570983889;-1.07166695594791;50000;Zone 2;15.0;658.0
NT50S;BAUPTE;2, 4, 5, 7;50036;49.3080558776858;-1.35861098766332;50500;Zone 2;318.0;10032.915
NT50S;BAUQUAY;15;14056;49.0336112976069;-0.615556001663227;14260;Zone 2;1.0;3.0
NT14G;BAVENT;38, MAINIER;14046;49.230278015137;-0.187777996063229;14860;Zone 1;236.0;13329.72
NT14G;BAYEUX;046_DBA, 14G2, 2, 20, 46, 50, 51;14047;49.2752761840821;-0.703333020210268;14400;Zone 2;8098.0;326732.937
NT14G;BAZENVILLE;39;14049;49.302501678467;-0.586389005184178;14480;Zone 2;5.0;91.0
NT61L;BAZOCHES AU HOULME;23, 8;61028;48.8175010681153;-0.23999999463558;61210;Zone 3;15.0;1829.8
NT61L;BAZOCHES SUR HOENE;16, 95;61029;48.5536117553712;0.469722002744668;61560;Zone 2;268.0;3124.354
NT50T;BEAUBIGNY;7;50033;49.4311103820801;-1.80055594444269;50270;Zone 2;1.0;80.0
NT50V;BEAUCHAMPS;008-2, 1, 10, 21, 8, 9;50038;48.8344421386721;-1.35777795314789;50320;Zone 1;55.0;7025.98
NT61L;BEAUCHENE;3;61031;48.6800003051763;-0.725556015968335;61800;Zone 3;1.0;167.0
NT61L;BEAUFAI;6;61032;48.7491683959958;0.515555977821349;61270;Zone 3;34.0;1073.087
NT50V;BEAUFICEL;15;50040;48.741943359375;-0.958889007568377;50150;Zone 2;6.0;817.6
NT14G;BEAUFOUR DRUVAL;13, 29, 38, 52;14231;49.2077789306639;0.0319439992308621;14340;Zone 2;26.0;2235.159
NT61L;BEAULANDAIS;1;61033;48.5452766418461;-0.543888986110693;61140;Zone 3;4.0;86.0
NT50S;BEAULIEU;14, 15;14052;48.9102783203128;-0.818611025810242;14350;Zone 1;38.0;1921.188
NT61L;BEAULIEU;7;61034;48.6797218322753;0.745832979679085;61190;Zone 3;38.0;2802.86
NT14G;BEAUMAIS;25;14053;48.8955574035639;-0.0761109963059403;14620;Zone 2;8.0;714.9
NT50V;BEAUMESNIL;15;14054;48.8952789306641;-0.981944024562861;14380;Zone 1;6.0;750.0
NT14G;BEAUMONT EN AUGE;13, 24, 30, MAINIER;14055;49.2777786254879;0.109167002141478;14950;Zone 2;109.0;5967.55
NT50T;BEAUMONT HAGUE;1, 11, 2, 4, 5, 6;50041;49.6638908386231;-1.83555603027343;50440;Zone 1;1097.0;33145.926
NT61L;BEAUVAIN;2;61035;48.6080551147461;-0.307222008705141;61600;Zone 2;9.0;1546.6
NT50V;BEAUVOIR;17, 21;50042;48.5969429016111;-1.50305604934691;50170;Zone 2;273.0;17206.934
NT61L;BELFONDS;15, 24, 8;61036;48.6122207641602;0.119443997740753;61500;Zone 1;5.0;443.0
NT61L;BELFORET EN PERCHE;14, 8;61196;48.3747215270998;0.52388900518417;61130;Zone 2;158.0;24078.041
NT61L;BELLAVILLIERS;14, 8;61037;48.4233322143549;0.496944010257721;61360;Zone 2;7.0;1137.0
NT14G;BELLE VIE EN AUGE;29, 54;14527;49.1041679382318;-0.0386109985411171;14270;Zone 1;52.0;3436.102
NT50V;BELLEFONTAINE;15;50043;48.6911125183107;-0.974443972110728;50520;Zone 2;1.0;29.0
NT61L;BELLEME;14, 8;61038;48.3763885498049;0.561389029026028;61130;Zone 3;433.0;21378.008
NT14G;BELLENGREVILLE;29;14057;49.1244430541989;-0.205556005239489;14370;Zone 1;73.0;4238.187
NT61L;BELLOU EN HOULME;2;61040;48.6916656494142;-0.442499995231633;61220;Zone 3;20.0;1544.79
NT61L;BELLOU LE TRICHARD;14, 8;61041;48.2680549621578;0.546944022178648;61130;Zone 3;9.0;880.366
NT61L;BELLOU SUR HUISNE;14, 8;61042;48.4255561828609;0.756667017936734;61110;Zone 3;32.0;9187.130000000001
NT50V;BELVAL;14;50044;49.0405578613279;-1.36333298683172;50210;Zone 2;19.0;273.2
