;Dpt;Code INSEE;CP;Commune;Code agence;Code Directionnel;Latitude;Longitude;Commune_agence;Code postal;Latitude_agence;Longitude_agence;Distance (km)
FR;14;14004;14710;AIGNERVILLE;NT50X;50S;49.320831298828;-0.921110987663274;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;30.97
FR;14;14007;14310;AMAYE SUR SEULLES;NT50X;50S;49.0786094665531;-0.714443981647511;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;20.57
FR;14;14017;14380;ANNEBECQ;NT50X;50V;48.9077;-0.972732;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;20.87
FR;14;14023;14710;ASNIERES EN BESSIN;NT50X;50S;49.3669433593748;-0.936667025089265;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;35.89
FR;14;14027;14260;AUNAY SUR ODON;NT50X;50S;49.0202789306639;-0.632499992847416;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;26.42
FR;14;14027;14260;LES MONTS D AUNAY;NT50X;50S;49.0202789306639;-0.632499992847416;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;26.42
FR;14;14050;14490;LA BAZOQUE;NT50X;50S;49.1616668701172;-0.866944015026063;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;15.74
FR;14;14052;14350;BEAULIEU;NT50X;50S;48.9102783203128;-0.818611025810242;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;19.72
FR;14;14054;14380;BEAUMESNIL;NT50X;50V;48.8952789306641;-0.981944024562861;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.79
FR;14;14056;14260;BAUQUAY;NT50X;50S;49.0336112976069;-0.615556001663227;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;27.53
FR;14;14061;14350;LE BENY BOCAGE;NT50X;50S;48.9397201538088;-0.839166998863237;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;16.27
FR;14;14061;14350;SOULEUVRE EN BOCAGE;NT50X;50S;48.9397201538088;-0.839166998863237;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;16.27
FR;14;14063;14710;BERNESQ;NT50X;50S;49.273609161377;-0.942499995231642;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;25.54
FR;14;14065;14410;BERNIERES LE PATRY;NT50X;50S;48.814720153809;-0.7355560064316;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;31.86
FR;14;14073;14260;LA BIGNE;NT50X;50S;49.0113906860348;-0.72027802467347;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;20.22
FR;14;14084;14260;BONNEMAISON;NT50X;50S;49.0105552673341;-0.583055973052989;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;30.14
FR;14;14096;14260;BREMOY;NT50X;50S;48.99055480957;-0.778889000415789;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;16.75
FR;14;14107;14710;BRICQUEVILLE;NT50X;50S;49.288890838623;-0.961667001247426;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;27.08
FR;14;14113;14410;BURCY;NT50X;50S;48.8694458007813;-0.803332984447484;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;24.01
FR;14;14115;14350;BURES LES MONTS;NT50X;50S;48.949722290039;-0.964443981647463;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;10.91
FR;14;14120;14240;CAHAGNES;NT50X;50S;49.0647201538092;-0.766667008399941;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;16.57
FR;14;14124;14230;LA CAMBE;NT50X;50S;49.3424987792973;-1.00472199916838;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;32.96
FR;14;14127;14500;CAMPAGNOLLES;NT50X;50S;48.8911094665531;-0.92361098527909;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;17.95
FR;14;14128;14260;CAMPANDRE VALCONGRAIN;NT50X;50S;48.9783325195312;-0.584999978542339;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;30.69
FR;14;14129;14350;CAMPEAUX;NT50X;50S;48.9538879394532;-0.930278003215794;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;11.21
FR;14;14132;14230;CANCHY;NT50X;50S;49.3308334350588;-0.983056008815794;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;31.66
FR;14;14136;14230;CARDONVILLE;NT50X;50S;49.3450012207031;-1.06472194194791;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;33.65
FR;14;14138;14330;CARTIGNY L EPINAY;NT50X;50S;49.2383346557623;-1.00916695594788;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;21.4
FR;14;14139;14350;CARVILLE;NT50X;50S;48.9311103820802;-0.860556006431605;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;16.0
FR;14;14142;14330;CASTILLY;NT50X;50S;49.2772216796882;-1.02694404125212;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;25.82
