Agence entree reseau;Agence sortie reseau;D‚partement;INSEE;Cp;Ville;PS;Correspondant;Ligne depart;UM;Poids;Latitude;Longitude;Zone
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;3;617.01;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;1;161.96;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;1;8;2633.613;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;258.5;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;1;1051;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;477;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;1;144.06;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;490;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;1;313;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;503;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;1775;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14052;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;161.99;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14062;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;227.13;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;1;80;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;2;298.714;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;2;1000;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;2;220;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;400;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;1775;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;340;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;299.3;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;1;450;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;2;483.4;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;153;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;154.6;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;1;438;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;200;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;737;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;121.986;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;112.655;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;189.03;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;2125;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;480;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;85;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;1;1057;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;1;300;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;1;153.608;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;2;714.73;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;1;43.4;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;250;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;288;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;000PAQ;1;8;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;1;10;3043.48;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;554.4;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;4;734.366;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14012;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;2;675.088;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;523;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;5;1972;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;446;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;5;1735.2;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;290;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;3;530.337;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;450;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;1;170;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;233;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;160;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;64;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;2;1305.56;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;37.04;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;2;222.588;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;112.655;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;460;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;ACAMIONNER;1;1972;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;200;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;3;1387.2;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;22;1;289;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;1;100;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;1;8;2802.91;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;340;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;5;867.88;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;250;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;2;704;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;330;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;104;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;2;585;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;4;570;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;3;637.407;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;108.8;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;2;294.568;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;3;1056.59;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;150;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;356;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;475;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;95;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;363;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;448.5;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;2;717.9;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;1;120.5;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;2;291.441;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;7;3176.39;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;1;54.6;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;717.9;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;1;7;2246.137;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;8;2;756;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;12;1;614;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;266.4;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;2;703.5;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;207.19;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;2;229.69;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;2;368.082;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14050;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;470;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;7;1;360;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;167;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;64;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;361;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;37;3;1460.247;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;850;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;197.97;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;668.97;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;112.655;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;250;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;250;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;5;1577.08;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 50 TOURLAVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;300;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;57;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;380;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;399;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;10;1;370.6;49.1844444274901;-0.360000014305113;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14118;14000;CAEN;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;21;3;391.371;49.1844444274901;-0.360000014305113;Zone 1
