Pays;Dpt;Code INSEE;CP;Commune;Code agence;Code Directionnel;Latitude;Longitude;Commune_agence;Code postal;Latitude_agence;Longitude_agence;Distance (km);Zone
FR;14;14001;14600;ABLON;NT14G;14G;49.393054962158;0.295832991600039;Grentheville;14540;49.1509627229952;-0.297355055809021;50.88;Zone 3
FR;14;14002;14220;ACQUEVILLE;NT14G;14G;48.9730567932128;-0.368055999279021;Grentheville;14540;49.1509627229952;-0.297355055809021;20.45;Zone 2
FR;14;14003;14400;AGY;NT14G;14G;49.2397232055658;-0.764443993568404;Grentheville;14540;49.1509627229952;-0.297355055809021;35.45;Zone 2
FR;14;14004;14710;AIGNERVILLE;NT50S;50S;49.320831298828;-0.921110987663274;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;30.97;Zone 2
FR;14;14005;14370;VALAMBRAY;NT14G;14G;49.1005554199222;-0.14916700124741;Grentheville;14540;49.1509627229952;-0.297355055809021;12.18;Zone 1
FR;14;14006;14210;AMAYE SUR ORNE;NT14G;14G;49.0855560302729;-0.43944400548935;Grentheville;14540;49.1509627229952;-0.297355055809021;12.67;Zone 1
FR;14;14007;14310;AMAYE SUR SEULLES;NT50S;50S;49.0786094665531;-0.714443981647511;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;20.57;Zone 2
FR;14;14008;14480;AMBLIE;NT14G;14G;49.289443969727;-0.486389011144642;Grentheville;14540;49.1509627229952;-0.297355055809021;20.66;Zone 2
FR;14;14009;14860;AMFREVILLE;NT14G;14G;49.2491683959957;-0.23472200334072;Grentheville;14540;49.1509627229952;-0.297355055809021;11.84;Zone 1
FR;14;14010;14170;AMMEVILLE;NT14G;14G;48.941568299569;0.033728758308;Grentheville;14540;49.1509627229952;-0.297355055809021;33.59;Zone 2
FR;14;14011;14240;ANCTOVILLE;NT14G;14G;49.1049995422362;-0.709443986415878;Grentheville;14540;49.1509627229952;-0.297355055809021;30.51;Zone 2
FR;14;14011;14240;AURSEULLES;NT14G;14G;49.1049995422362;-0.709443986415878;Grentheville;14540;49.1509627229952;-0.297355055809021;30.51;Zone 2
FR;14;14012;14430;ANGERVILLE;NT14G;14G;49.239444732666;-0.0305560007691381;Grentheville;14540;49.1509627229952;-0.297355055809021;21.79;Zone 2
FR;14;14013;14220;ANGOVILLE;NT14G;14G;48.94083404541;-0.374722003936771;Grentheville;14540;49.1509627229952;-0.297355055809021;24.04;Zone 2
FR;14;14014;14610;COLOMBY ANGUERNY;NT14G;14G;49.2669448852539;-0.400278002023701;Grentheville;14540;49.1509627229952;-0.297355055809021;14.92;Zone 1
FR;14;14015;14610;ANISY;NT14G;14G;49.2519454956051;-0.391389012336728;Grentheville;14540;49.1509627229952;-0.297355055809021;13.16;Zone 1
FR;14;14016;14430;ANNEBAULT;NT14G;14G;49.25305557251;0.0575000010430789;Grentheville;14540;49.1509627229952;-0.297355055809021;28.24;Zone 2
FR;14;14017;14380;ANNEBECQ;NT50V;50V;48.9077;-0.972732;Villedieu-les-Po̻les;50800;48.8424;-1.23952;20.87;Zone 2
FR;14;14019;14400;ARGANCHY;NT14G;14G;49.235000610352;-0.741388976573919;Grentheville;14540;49.1509627229952;-0.297355055809021;33.69;Zone 2
FR;14;14020;14370;ARGENCES;NT14G;14G;49.1269454956047;-0.16361099481583;Grentheville;14540;49.1509627229952;-0.297355055809021;10.12;Zone 1
FR;14;14021;14117;ARROMANCHES LES BAINS;NT14G;14G;49.338611602783;-0.623055994510675;Grentheville;14540;49.1509627229952;-0.297355055809021;31.59;Zone 2
FR;14;14022;14960;ASNELLES;NT14G;14G;49.334167480469;-0.581667006015779;Grentheville;14540;49.1509627229952;-0.297355055809021;29.05;Zone 2
FR;14;14023;14710;ASNIERES EN BESSIN;NT50S;50S;49.3669433593748;-0.936667025089265;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;35.89;Zone 2
FR;14;14024;14640;AUBERVILLE;NT14G;14G;49.3116683959959;-0.0319439992308621;Grentheville;14540;49.1509627229952;-0.297355055809021;26.33;Zone 2
FR;14;14025;14700;AUBIGNY;NT14G;14G;48.9191665649407;-0.21388900279999;Grentheville;14540;49.1509627229952;-0.297355055809021;26.49;Zone 2
FR;14;14026;14250;AUDRIEU;NT14G;14G;49.2072219848631;-0.594166994094859;Grentheville;14540;49.1509627229952;-0.297355055809021;22.53;Zone 2
FR;14;14027;14260;AUNAY SUR ODON;NT50S;50S;49.0202789306639;-0.632499992847416;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;26.42;Zone 2
FR;14;14027;14260;LES MONTS D AUNAY;NT50S;50S;49.0202789306639;-0.632499992847416;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;26.42;Zone 2
FR;14;14028;14140;AUQUAINVILLE;NT14G;14G;49.0552787780762;0.242500007152562;Grentheville;14540;49.1509627229952;-0.297355055809021;40.83;Zone 3
FR;14;14029;14140;LES AUTELS ST BAZILE;NT14G;14G;48.9458312988279;0.11749999970198;Grentheville;14540;49.1509627229952;-0.297355055809021;37.95;Zone 2
FR;14;14030;14280;AUTHIE;NT14G;14G;49.2072219848631;-0.430000007152558;Grentheville;14540;49.1509627229952;-0.297355055809021;11.52;Zone 1
FR;14;14031;14140;LES AUTHIEUX PAPION;NT14G;14G;49.0661125183108;0.0527779981493952;Grentheville;14540;49.1509627229952;-0.297355055809021;27.25;Zone 2
FR;14;14032;14130;LES AUTHIEUX SUR CALONNE;NT14G;14G;49.2961120605469;0.285555988550187;Grentheville;14540;49.1509627229952;-0.297355055809021;45.43;Zone 3
FR;14;14033;14340;AUVILLARS;NT14G;14G;49.1936111450202;0.0722220018506053;Grentheville;14540;49.1509627229952;-0.297355055809021;27.36;Zone 2
FR;14;14034;14210;AVENAY;NT14G;14G;49.1005554199222;-0.464722007513047;Grentheville;14540;49.1509627229952;-0.297355055809021;13.44;Zone 1
FR;14;14035;14490;BALLEROY;NT14G;14G;49.180557250977;-0.836111009120955;Grentheville;14540;49.1509627229952;-0.297355055809021;39.43;Zone 2
FR;14;14036;14940;BANNEVILLE LA CAMPAGNE;NT14G;14G;49.1752777099612;-0.219444006681442;Grentheville;14540;49.1509627229952;-0.297355055809021;6.29;Zone 1
FR;14;14037;14260;BANNEVILLE SUR AJON;NT14G;14G;49.0625000000001;-0.569721996784209;Grentheville;14540;49.1509627229952;-0.297355055809021;22.19;Zone 2
FR;14;14037;14260;MALHERBE SUR AJON;NT14G;14G;49.0625000000001;-0.569721996784209;Grentheville;14540;49.1509627229952;-0.297355055809021;22.19;Zone 2
FR;14;14038;14480;BANVILLE;NT14G;14G;49.3122215270999;-0.488611012697219;Grentheville;14540;49.1509627229952;-0.297355055809021;22.71;Zone 2
FR;14;14039;14220;BARBERY;NT14G;14G;49.0083312988281;-0.351666986942292;Grentheville;14540;49.1509627229952;-0.297355055809021;16.35;Zone 1
FR;14;14040;14400;BARBEVILLE;NT14G;14G;49.2794456481931;-0.743332982063269;Grentheville;14540;49.1509627229952;-0.297355055809021;35.5;Zone 2
FR;14;14041;14600;BARNEVILLE LA BERTRAN;NT14G;14G;49.3866653442379;0.188611000776288;Grentheville;14540;49.1509627229952;-0.297355055809021;44.02;Zone 3
FR;14;14042;14210;BARON SUR ODON;NT14G;14G;49.1302795410161;-0.479721993207933;Grentheville;14540;49.1509627229952;-0.297355055809021;13.5;Zone 1
FR;14;14043;14620;BAROU EN AUGE;NT14G;14G;48.9324989318849;-0.0441670008003707;Grentheville;14540;49.1509627229952;-0.297355055809021;30.54;Zone 2
FR;14;14044;14610;BASLY;NT14G;14G;49.2794456481931;-0.42388901114464;Grentheville;14540;49.1509627229952;-0.297355055809021;17.0;Zone 1
FR;14;14045;14670;BASSENEVILLE;NT14G;14G;49.2097206115721;-0.152777999639512;Grentheville;14540;49.1509627229952;-0.297355055809021;12.4;Zone 1
FR;14;14046;14860;BAVENT;NT14G;14G;49.230278015137;-0.187777996063229;Grentheville;14540;49.1509627229952;-0.297355055809021;11.9;Zone 1
FR;14;14047;14400;BAYEUX;NT14G;14G;49.2752761840821;-0.703333020210268;Grentheville;14540;49.1509627229952;-0.297355055809021;32.65;Zone 2
FR;14;14049;14480;BAZENVILLE;NT14G;14G;49.302501678467;-0.586389005184178;Grentheville;14540;49.1509627229952;-0.297355055809021;26.97;Zone 2
FR;14;14050;14490;LA BAZOQUE;NT50S;50S;49.1616668701172;-0.866944015026063;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;15.74;Zone 1
FR;14;14051;14340;BEAUFOUR;NT14G;14G;49.227172998814;0.026012462729;Grentheville;14540;49.1509627229952;-0.297355055809021;25.05;Zone 2
FR;14;14052;14350;BEAULIEU;NT50S;50S;48.9102783203128;-0.818611025810242;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;19.72;Zone 1
FR;14;14053;14620;BEAUMAIS;NT14G;14G;48.8955574035639;-0.0761109963059403;Grentheville;14540;49.1509627229952;-0.297355055809021;32.69;Zone 2
FR;14;14054;14380;BEAUMESNIL;NT50V;50V;48.8952789306641;-0.981944024562861;Villedieu-les-Po̻les;50800;48.8424;-1.23952;19.79;Zone 1
FR;14;14055;14950;BEAUMONT EN AUGE;NT14G;14G;49.2777786254879;0.109167002141478;Grentheville;14540;49.1509627229952;-0.297355055809021;32.8;Zone 2
FR;14;14056;14260;BAUQUAY;NT50S;50S;49.0336112976069;-0.615556001663227;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;27.53;Zone 2
FR;14;14057;14370;BELLENGREVILLE;NT14G;14G;49.1244430541989;-0.205556005239489;Grentheville;14540;49.1509627229952;-0.297355055809021;7.32;Zone 1
FR;14;14058;14140;BELLOU;NT14G;14G;48.9808311462402;0.231111004948618;Grentheville;14540;49.1509627229952;-0.297355055809021;43.0;Zone 3
FR;14;14059;14910;BENERVILLE SUR MER;NT14G;14G;49.3422203063963;0.0366670005023481;Grentheville;14540;49.1509627229952;-0.297355055809021;32.31;Zone 2
FR;14;14060;14970;BENOUVILLE;NT14G;14G;49.2466659545899;-0.276389002799993;Grentheville;14540;49.1509627229952;-0.297355055809021;10.75;Zone 1
FR;14;14061;14350;LE BENY BOCAGE;NT50S;50S;48.9397201538088;-0.839166998863237;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;16.27;Zone 1
FR;14;14061;14350;SOULEUVRE EN BOCAGE;NT50S;50S;48.9397201538088;-0.839166998863237;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;16.27;Zone 1
FR;14;14062;14440;BENY SUR MER;NT14G;14G;49.2900009155273;-0.431944012641908;Grentheville;14540;49.1509627229952;-0.297355055809021;18.31;Zone 1
FR;14;14063;14710;BERNESQ;NT50S;50S;49.273609161377;-0.942499995231642;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;25.54;Zone 2
FR;14;14064;14170;BERNIERES D AILLY;NT14G;14G;48.9616661071779;-0.0911109969019912;Grentheville;14540;49.1509627229952;-0.297355055809021;25.89;Zone 2
FR;14;14065;14410;BERNIERES LE PATRY;NT50S;50S;48.814720153809;-0.7355560064316;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;31.86;Zone 2
FR;14;14066;14990;BERNIERES SUR MER;NT14G;14G;49.3319435119631;-0.421943992376329;Grentheville;14540;49.1509627229952;-0.297355055809021;22.08;Zone 2
FR;14;14067;14170;BERVILLE;NT14G;14G;49.005307250461;-0.010732415176;Grentheville;14540;49.1509627229952;-0.297355055809021;26.47;Zone 2
FR;14;14068;14112;BIEVILLE BEUVILLE;NT14G;14G;49.2433319091802;-0.327499985694892;Grentheville;14540;49.1509627229952;-0.297355055809021;10.51;Zone 1
FR;14;14069;14100;BEUVILLERS;NT14G;14G;49.12833404541;0.245555996894838;Grentheville;14540;49.1509627229952;-0.297355055809021;39.69;Zone 2
FR;14;14070;14430;BEUVRON EN AUGE;NT14G;14G;49.1908340454102;-0.0474999994039539;Grentheville;14540;49.1509627229952;-0.297355055809021;18.75;Zone 1
FR;14;14071;14270;BIEVILLE EN AUGE;NT14G;14G;49.125960133563;-0.03985762598;Grentheville;14540;49.1509627229952;-0.297355055809021;18.99;Zone 1
FR;14;14072;14112;BIEVILLE SUR ORNE;NT14G;14G;48.830067513347;-0.324105224184;Grentheville;14540;49.1509627229952;-0.297355055809021;35.74;Zone 2
FR;14;14073;14260;LA BIGNE;NT50S;50S;49.0113906860348;-0.72027802467347;Cond̩-sur-Vire;50890;49.046229053341;-0.991599705415;20.22;Zone 2
